date	stage	time	values
2020-03-01	possymp	active	0.12704063466035834
2020-03-02	infections	start	22.602577947906795
2020-03-02	positive	start	14.150441564326114
2020-03-02	infectious	start	11.039983305007699
2020-03-02	symptoms	start	7.035942096448403
2020-03-02	infectious	end	0.7440798301802173
2020-03-02	symptoms	end	0.261542957697214
2020-03-02	positive	end	0
2020-03-02	reported	end	4.316308464073181
2020-03-02	symptoms	new	6.774399138751189
2020-03-02	symptoms	active	32.20128338030704
2020-03-02	presymp	new	7.11449946787771
2020-03-02	presymp	active	31.530508920860175
2020-03-02	positive	new	14.150441564326114
2020-03-02	positive	active	64.12037589352478
2020-03-02	infectious	new	10.295903474827481
2020-03-02	infectious	active	48.528449856740664
2020-03-02	possymp	new	0.261542957697214
2020-03-02	possymp	active	0.38858359235757234
2020-03-03	infections	start	27.750848382301566
2020-03-03	positive	start	17.96821213418151
2020-03-03	infectious	start	14.100115545071034
2020-03-03	symptoms	start	9.023183149129501
2020-03-03	infectious	end	1.0384068221736111
2020-03-03	symptoms	end	0.4665559472324939
2020-03-03	positive	end	0
2020-03-03	reported	end	1.9183593173658584
2020-03-03	symptoms	new	8.556627201897006
2020-03-03	symptoms	active	40.75791058220405
2020-03-03	presymp	new	8.945028985052009
2020-03-03	presymp	active	40.475537905912184
2020-03-03	positive	new	17.96821213418151
2020-03-03	positive	active	82.0885880277063
2020-03-03	infectious	new	13.061708722897423
2020-03-03	infectious	active	61.590158579638086
2020-03-03	possymp	new	0.4665559472324939
2020-03-03	possymp	active	0.8551395395900662
2020-03-04	infections	start	32.809724804653214
2020-03-04	positive	start	22.47148261950445
2020-03-04	infectious	start	17.88360534504541
2020-03-04	symptoms	start	11.466998552316637
2020-03-04	infectious	end	1.3869126931892122
2020-03-04	symptoms	end	0.7035637384419086
2020-03-04	positive	end	0
2020-03-04	reported	end	1.9183593173658584
2020-03-04	symptoms	new	10.763434813874728
2020-03-04	symptoms	active	51.52134539607877
2020-03-04	presymp	new	11.004484067187812
2020-03-04	presymp	active	51.480021973099994
2020-03-04	positive	new	22.47148261950445
2020-03-04	positive	active	104.56007064721075
2020-03-04	infectious	new	16.496692651856197
2020-03-04	infectious	active	78.08685123149428
2020-03-04	possymp	new	0.7035637384419086
2020-03-04	possymp	active	1.5587032780319747
2020-03-05	infections	start	37.290354154147835
2020-03-05	positive	start	27.591825855674074
2020-03-05	infectious	start	22.354286858429077
2020-03-05	symptoms	start	14.527867177123992
2020-03-05	infectious	end	1.7925159026505422
2020-03-05	symptoms	end	0.9763485537129051
2020-03-05	positive	end	0.08108129520916553
2020-03-05	reported	end	1.4387694880243938
2020-03-05	symptoms	new	13.551518623411088
2020-03-05	symptoms	active	65.07286401948986
2020-03-05	presymp	new	13.063958678550081
2020-03-05	presymp	active	64.54398065165007
2020-03-05	positive	new	27.510744560464907
2020-03-05	positive	active	132.07081520767565
2020-03-05	infectious	new	20.561770955778535
2020-03-05	infectious	active	98.64862218727282
2020-03-05	possymp	new	0.8952672585037396
2020-03-05	possymp	active	2.4539705365357145
2020-03-06	infections	start	41.43348723659891
2020-03-06	positive	start	32.63800087328127
2020-03-06	infectious	start	27.447308761320333
2020-03-06	symptoms	start	18.3003987730363
2020-03-06	infectious	end	2.302505848561406
2020-03-06	symptoms	end	1.3011668359125261
2020-03-06	positive	end	0.3061101760543341
2020-03-06	reported	end	5.755077952097575
2020-03-06	symptoms	new	16.999231937123774
2020-03-06	symptoms	active	82.07209595661364
2020-03-06	presymp	new	14.337602100244972
2020-03-06	presymp	active	78.88158275189505
2020-03-06	positive	new	32.33189069722694
2020-03-06	positive	active	164.4027059049026
2020-03-06	infectious	new	25.144802912758927
2020-03-06	infectious	active	123.79342510003174
2020-03-06	possymp	new	0.995056659858192
2020-03-06	possymp	active	3.4490271963939065
2020-03-07	infections	start	45.51447514990009
2020-03-07	positive	start	37.12268205650042
2020-03-07	infectious	start	32.47703407541141
2020-03-07	symptoms	start	22.730944451444422
2020-03-07	infectious	end	3.019993874047564
2020-03-07	symptoms	end	1.6879781734339316
2020-03-07	positive	end	0.602184249975684
2020-03-07	reported	end	2.397949146707323
2020-03-07	symptoms	new	21.04296627801049
2020-03-07	symptoms	active	103.11506223462412
2020-03-07	presymp	new	14.391737605056
2020-03-07	presymp	active	93.27332035695105
2020-03-07	positive	new	36.52049780652474
2020-03-07	positive	active	200.92320371142733
2020-03-07	infectious	new	29.457040201363846
2020-03-07	infectious	active	153.2504653013956
2020-03-07	possymp	new	1.0857939234582477
2020-03-07	possymp	active	4.534821119852154
2020-03-08	infections	start	49.52758323711972
2020-03-08	positive	start	41.28018847352532
2020-03-08	infectious	start	36.95898083666877
2020-03-08	symptoms	start	27.749495751704433
2020-03-08	infectious	end	4.0641661786354
2020-03-08	symptoms	end	2.1759511360802577
2020-03-08	positive	end	0.9401057567484434
2020-03-08	reported	end	2.397949146707323
2020-03-08	symptoms	new	25.573544615624176
2020-03-08	symptoms	active	128.6886068502483
2020-03-08	presymp	new	13.530692721820888
2020-03-08	presymp	active	106.80401307877193
2020-03-08	positive	new	40.34008271677688
2020-03-08	positive	active	241.2632864282042
2020-03-08	infectious	new	32.89481465803337
2020-03-08	infectious	active	186.14527995942896
2020-03-08	possymp	new	1.2358453793318143
2020-03-08	possymp	active	5.770666499183968
2020-03-09	infections	start	53.03717582557755
2020-03-09	positive	start	45.37603570188531
2020-03-09	infectious	start	41.12008112568212
2020-03-09	symptoms	start	32.663830320746065
2020-03-09	infectious	end	5.542689473058334
2020-03-09	symptoms	end	2.8512969137066375
2020-03-09	positive	end	1.3004508238294452
2020-03-09	reported	end	6.714257610780504
2020-03-09	symptoms	new	29.812533407039428
2020-03-09	symptoms	active	158.50114025728772
2020-03-09	presymp	new	12.712205381139242
2020-03-09	presymp	active	119.51621845991117
2020-03-09	positive	new	44.075584878055864
2020-03-09	positive	active	285.33887130626005
2020-03-09	infectious	new	35.57739165262379
2020-03-09	infectious	active	221.72267161205275
2020-03-09	possymp	new	1.5508460898771923
2020-03-09	possymp	active	7.321512589061161
2020-03-10	infections	start	55.7143160527848
2020-03-10	positive	start	49.397287783377806
2020-03-10	infectious	start	45.21504084144057
2020-03-10	symptoms	start	36.971755664730104
2020-03-10	infectious	end	7.563985008352376
2020-03-10	symptoms	end	3.822405877647103
2020-03-10	positive	end	1.707879073026286
2020-03-10	reported	end	11.030566074853686
2020-03-10	symptoms	new	33.149349787083004
2020-03-10	symptoms	active	191.65049004437074
2020-03-10	presymp	new	12.425532118647702
2020-03-10	presymp	active	131.94175057855887
2020-03-10	positive	new	47.68940871035152
2020-03-10	positive	active	333.0282800166116
2020-03-10	infectious	new	37.65105583308819
2020-03-10	infectious	active	259.37372744514096
2020-03-10	possymp	new	2.1145268046208168
2020-03-10	possymp	active	9.436039393681977
2020-03-11	infections	start	57.49318832863298
2020-03-11	positive	start	52.90913010525599
2020-03-11	infectious	start	49.226350111096316
2020-03-11	symptoms	start	40.88190102088261
2020-03-11	infectious	end	10.282113348347181
2020-03-11	symptoms	end	5.20559050794051
2020-03-11	positive	end	2.1978486010356413
2020-03-11	reported	end	25.418260955097622
2020-03-11	symptoms	new	35.676310512942095
2020-03-11	symptoms	active	227.32680055731282
2020-03-11	presymp	new	12.027229084373381
2020-03-11	presymp	active	143.96897966293227
2020-03-11	positive	new	50.71128150422035
2020-03-11	positive	active	383.73956152083196
2020-03-11	infectious	new	38.944236762749135
2020-03-11	infectious	active	298.3179642078901
2020-03-11	possymp	new	3.0077419069048688
2020-03-11	possymp	active	12.443781300586846
2020-03-12	infections	start	58.24892018930434
2020-03-12	positive	start	55.591109546407864
2020-03-12	infectious	start	52.72478638575161
2020-03-12	symptoms	start	44.64956040424865
2020-03-12	infectious	end	13.737585398159245
2020-03-12	symptoms	end	7.112907026771369
2020-03-12	positive	end	2.779086374802358
2020-03-12	reported	end	22.061132149707372
2020-03-12	symptoms	new	37.536653377477286
2020-03-12	symptoms	active	264.86345393479013
2020-03-12	presymp	new	10.94154914215921
2020-03-12	presymp	active	154.91052880509147
2020-03-12	positive	new	52.8120231716055
